run_id,label,mechanism_signal,gap_thr,mech_pct,CO
run_A,run_A,M_binary,0.08,15.0,478
run_A,run_A,M_binary,0.08,20.0,480
run_A,run_A,M_binary,0.08,25.0,486
run_A,run_A,M_binary,0.08,30.0,491
run_A,run_A,M_binary,0.1,15.0,478
run_A,run_A,M_binary,0.1,20.0,480
run_A,run_A,M_binary,0.1,25.0,486
run_A,run_A,M_binary,0.1,30.0,491
run_A,run_A,M_binary,0.12,15.0,478
run_A,run_A,M_binary,0.12,20.0,480
run_A,run_A,M_binary,0.12,25.0,486
run_A,run_A,M_binary,0.12,30.0,491
run_B,run_B,M_binary,0.08,15.0,115
run_B,run_B,M_binary,0.08,20.0,115
run_B,run_B,M_binary,0.08,25.0,116
run_B,run_B,M_binary,0.08,30.0,161
run_B,run_B,M_binary,0.1,15.0,116
run_B,run_B,M_binary,0.1,20.0,116
run_B,run_B,M_binary,0.1,25.0,116
run_B,run_B,M_binary,0.1,30.0,161
run_B,run_B,M_binary,0.12,15.0,147
run_B,run_B,M_binary,0.12,20.0,150
run_B,run_B,M_binary,0.12,25.0,152
run_B,run_B,M_binary,0.12,30.0,161
run_C,run_C,M_binary,0.08,15.0,91
run_C,run_C,M_binary,0.08,20.0,91
run_C,run_C,M_binary,0.08,25.0,91
run_C,run_C,M_binary,0.08,30.0,91
run_C,run_C,M_binary,0.1,15.0,93
run_C,run_C,M_binary,0.1,20.0,93
run_C,run_C,M_binary,0.1,25.0,93
run_C,run_C,M_binary,0.1,30.0,93
run_C,run_C,M_binary,0.12,15.0,95
run_C,run_C,M_binary,0.12,20.0,95
run_C,run_C,M_binary,0.12,25.0,95
run_C,run_C,M_binary,0.12,30.0,95
run_D,run_D,M_binary,0.08,15.0,68
run_D,run_D,M_binary,0.08,20.0,68
run_D,run_D,M_binary,0.08,25.0,68
run_D,run_D,M_binary,0.08,30.0,68
run_D,run_D,M_binary,0.1,15.0,75
run_D,run_D,M_binary,0.1,20.0,75
run_D,run_D,M_binary,0.1,25.0,75
run_D,run_D,M_binary,0.1,30.0,75
run_D,run_D,M_binary,0.12,15.0,79
run_D,run_D,M_binary,0.12,20.0,79
run_D,run_D,M_binary,0.12,25.0,79
run_D,run_D,M_binary,0.12,30.0,79
run_B__M_rep2_sensitivity,run_B__M_rep2_sensitivity,M_rep2,0.08,15.0,162
run_B__M_rep2_sensitivity,run_B__M_rep2_sensitivity,M_rep2,0.08,20.0,169
run_B__M_rep2_sensitivity,run_B__M_rep2_sensitivity,M_rep2,0.08,25.0,177
run_B__M_rep2_sensitivity,run_B__M_rep2_sensitivity,M_rep2,0.08,30.0,179
run_B__M_rep2_sensitivity,run_B__M_rep2_sensitivity,M_rep2,0.1,15.0,162
run_B__M_rep2_sensitivity,run_B__M_rep2_sensitivity,M_rep2,0.1,20.0,169
run_B__M_rep2_sensitivity,run_B__M_rep2_sensitivity,M_rep2,0.1,25.0,177
run_B__M_rep2_sensitivity,run_B__M_rep2_sensitivity,M_rep2,0.1,30.0,179
run_B__M_rep2_sensitivity,run_B__M_rep2_sensitivity,M_rep2,0.12,15.0,162
run_B__M_rep2_sensitivity,run_B__M_rep2_sensitivity,M_rep2,0.12,20.0,169
run_B__M_rep2_sensitivity,run_B__M_rep2_sensitivity,M_rep2,0.12,25.0,177
run_B__M_rep2_sensitivity,run_B__M_rep2_sensitivity,M_rep2,0.12,30.0,179
